Date,Open,High,Low,Close,Volume,Change
04-09-2019,10790.40039,10858.75,10746.34961,10844.65039,500,0.43295454
05-09-2019,10860.9502,10920.09961,10816,10847.90039,600,0.029968693
06-09-2019,10883.79981,10957.04981,10867.4502,10946.2002,500,0.906164331
09-09-2019,10936.7002,11028.84961,10889.79981,11003.04981,400,0.519354744
11-09-2019,11028.5,11054.79981,11011.65039,11035.7002,700,0.296739455
12-09-2019,11058.29981,11081.75,10964.9502,10982.79981,600,-0.479356897
13-09-2019,10986.79981,11084.4502,10945.75,11075.90039,600,0.847694465
16-09-2019,10994.84961,11052.7002,10968.2002,11003.5,400,-0.653674992
17-09-2019,11000.09961,11000.09961,10796.5,10817.59961,500,-1.689465997
18-09-2019,10872.79981,10885.15039,10804.84961,10840.65039,500,0.213085923
19-09-2019,10845.2002,10845.2002,10670.25,10704.79981,600,-1.253159
20-09-2019,10746.79981,11381.90039,10691,11274.2002,1400,5.319112925
23-09-2019,11542.7002,11694.84961,11471.34961,11600.2002,900,2.891557666
24-09-2019,11590.7002,11655.04981,11539.2002,11588.2002,700,-0.103446491
25-09-2019,11564.84961,11564.9502,11416.09961,11440.2002,600,-1.277161229
26-09-2019,11469.84961,11610.84961,11466.34961,11571.2002,800,1.145084857
27-09-2019,11556.34961,11593.59961,11499.75,11512.40039,700,-0.508156483
30-09-2019,11491.15039,11508.25,11390.79981,11474.4502,800,-0.329646248
01-10-2019,11515.40039,11554.2002,11247.90039,11359.90039,1300,-0.998303205
03-10-2019,11322.25,11370.40039,11257.34961,11314,1000,-0.404056281
04-10-2019,11388.4502,11400.29981,11158.34961,11174.75,900,-1.23077603
07-10-2019,11196.2002,11233.84961,11112.65039,11126.40039,700,-0.432668373
09-10-2019,11152.9502,11321.59961,11090.15039,11313.29981,700,1.679783285
10-10-2019,11280.5,11293.34961,11208.54981,11234.54981,600,-0.696083383
11-10-2019,11257.7002,11362.90039,11189.40039,11305.04981,700,0.627528483
14-10-2019,11335.90039,11420.4502,11290.04981,11341.15039,600,0.319331508
15-10-2019,11360.84961,11462.34961,11342.09961,11428.29981,500,0.768435397
16-10-2019,11464.9502,11481.04981,11411.09961,11464,500,0.312384131
17-10-2019,11466.29981,11599.09961,11439.65039,11586.34961,800,1.067250602
18-10-2019,11580.29981,11684.7002,11553.15039,11661.84961,900,0.651628878
22-10-2019,11657.15039,11714.34961,11573.65039,11588.34961,900,-0.630260229
23-10-2019,11596.2002,11651.59961,11554.40039,11604.09961,700,0.135912365
24-10-2019,11661.65039,11679.59961,11534.65039,11582.59961,700,-0.185279347
25-10-2019,11646.15039,11646.90039,11490.75,11583.90039,800,0.011230484
29-10-2019,11643.9502,11809.40039,11627.34961,11786.84961,1000,#VALUE!
30-10-2019,11883.90039,11883.9502,11784.4502,11844.09961,700,0.485710787
31-10-2019,11890.4502,11945,11855.09961,11877.4502,1400,0.281579749
01-11-2019,11886.59961,11918.29981,11843.34961,11890.59961,900,0.110709065
04-11-2019,11928.90039,11989.15039,11905.34961,11941.29981,800,0.426388893
05-11-2019,11974.59961,11978.9502,11861.90039,11917.2002,600,-0.20181731
06-11-2019,11911.5,12002.90039,11850.25,11966.04981,603400,0.409908445
07-11-2019,12021.09961,12021.40039,11946.84961,12012.04981,563000,0.38442093
08-11-2019,11987.15039,12034.15039,11888.75,11908.15039,789300,-0.8649599
11-11-2019,11879.2002,11932.65039,11853.9502,11913.4502,549000,0.044505686
13-11-2019,11908.29981,11946.79981,11823.2002,11840.4502,659000,-0.612752803
14-11-2019,11858.75,11895.65039,11802.65039,11872.09961,559500,0.267299076
15-11-2019,11904.2002,11973.65039,11879.25,11895.4502,580200,0.196684553
18-11-2019,11915.15039,11946.2002,11867.59961,11884.5,514400,-0.092053641
19-11-2019,11919.4502,11958.84961,11881.75,11940.09961,613900,0.467832967
20-11-2019,12004.75,12038.59961,11966.04981,11999.09961,646700,0.494133231
21-11-2019,12025.65039,12028.2002,11956.90039,11968.40039,557700,-0.255846013
22-11-2019,11967.29981,11968.09961,11883.5,11914.40039,486800,-0.451188114
25-11-2019,11922.4502,12084.5,11919.75,12073.75,534300,1.337453869
26-11-2019,12110.2002,12132.4502,12006.34961,12037.7002,1201300,-0.298580019
27-11-2019,12068.5,12114.90039,12055.15039,12100.7002,584200,0.523355782
28-11-2019,12132.09961,12158.79981,12099.9502,12151.15039,620500,0.416919643
29-11-2019,12146.2002,12147.40039,12017.40039,12056.04981,804400,-0.78264677
02-12-2019,12137.04981,12137.15039,12023.7002,12048.2002,720900,-0.065109303
03-12-2019,12067.65039,12068.59961,11956.40039,11994.2002,605800,-0.448199724
04-12-2019,11969.9502,12054.7002,11935.29981,12043.2002,747200,0.408530783
05-12-2019,12071.25,12081.2002,11998.75,12018.40039,562200,-0.205923705
06-12-2019,12047.34961,12057.04981,11888.84961,11921.5,609200,-0.806266956
09-12-2019,11939.09961,11981.9502,11888.04981,11937.5,599100,0.134211299
10-12-2019,11950.5,11953.2002,11844.7002,11856.79981,650200,-0.676022576
11-12-2019,11867.34961,11923.2002,11832.29981,11910.15039,997700,0.449957719
12-12-2019,11944.29981,12005.5,11934,11971.79981,752600,0.517620785
13-12-2019,12026.40039,12098.84961,12023.59961,12086.7002,597700,0.959758699
16-12-2019,12131.34961,12134.65039,12046.29981,12053.9502,437700,-0.270958984
17-12-2019,12082.4502,12182.75,12070.34961,12165,499600,0.921273136
18-12-2019,12197,12237.7002,12163.4502,12221.65039,518900,0.465683444
19-12-2019,12223.40039,12268.34961,12191.15039,12259.7002,623100,0.311331144
20-12-2019,12266.4502,12293.90039,12252.75,12271.79981,810700,0.098694175
23-12-2019,12235.4502,12287.15039,12213.25,12262.75,604800,-0.073744725
24-12-2019,12269.25,12283.7002,12202.09961,12214.54981,470300,-0.393061874
26-12-2019,12211.84961,12221.54981,12118.84961,12126.54981,520300,-0.720452259
27-12-2019,12172.90039,12258.4502,12157.90039,12245.79981,383800,0.98337946
30-12-2019,12274.90039,12286.4502,12213.79981,12255.84961,411100,0.082067355
31-12-2019,12247.09961,12247.09961,12151.79981,12168.4502,426900,-0.713124074
01-01-2020,12202.15039,12222.2002,12165.29981,12182.5,304100,0.115460924
02-01-2020,12198.54981,12289.90039,12195.25,12282.2002,407700,0.818388631
03-01-2020,12261.09961,12265.59961,12191.34961,12226.65039,428800,-0.452278933
06-01-2020,12170.59961,12179.09961,11974.2002,11993.04981,396500,-1.910585308
07-01-2020,12079.09961,12152.15039,12005.34961,12052.9502,447800,0.499459195
08-01-2020,11939.09961,12044.9502,11929.59961,12025.34961,446000,-0.228994442
09-01-2020,12153.15039,12224.04981,12132.54981,12215.90039,477500,1.584575819
10-01-2020,12271,12311.2002,12213.2002,12256.79981,660600,0.334804744
13-01-2020,12296.7002,12337.75,12285.79981,12329.54981,501000,0.593548081
14-01-2020,12333.09961,12374.25,12308.7002,12362.29981,616300,0.265622026
15-01-2020,12349.40039,12355.15039,12278.75,12343.29981,684400,-0.153693085
16-01-2020,12347.09961,12389.04981,12315.79981,12355.5,395700,0.098840628
17-01-2020,12328.40039,12385.4502,12321.40039,12352.34961,502100,-0.025497884
20-01-2020,12430.5,12430.5,12216.90039,12224.54981,491600,-1.034619389
21-01-2020,12195.29981,12230.04981,12162.29981,12169.84961,444000,-0.447461844
22-01-2020,12218.34961,12225.04981,12087.90039,12106.90039,500,-0.517255513
23-01-2020,12123.75,12189,12094.09961,12180.34961,867700,0.606672357
24-01-2020,12174.54981,12272.15039,12149.65039,12248.25,593200,0.557458474
27-01-2020,12197.09961,12216.59961,12107,12119,441200,-1.055252791
28-01-2020,12148.09961,12163.54981,12024.5,12055.79981,478500,-0.521496782
29-01-2020,12114.90039,12169.59961,12103.79981,12129.5,514400,0.611325637
30-01-2020,12147.75,12150.29981,12010.59961,12035.79981,538100,-0.772498413
31-01-2020,12100.40039,12103.54981,11945.84961,11962.09961,771300,-0.612341491
03-02-2020,11627.4502,11749.84961,11614.5,11707.90039,669800,-2.125038466
04-02-2020,11786.25,11986.15039,11783.40039,11979.65039,560400,2.321082269
05-02-2020,12005.84961,12098.15039,11953.34961,12089.15039,758000,0.914050047
06-02-2020,12120,12160.59961,12084.65039,12137.9502,565100,0.403666117
07-02-2020,12151.15039,12154.7002,12073.9502,12098.34961,473500,-0.326254313
10-02-2020,12102.34961,12103.54981,11990.75,12031.5,524700,-0.552551473
11-02-2020,12108.40039,12172.29981,12099,12107.90039,480000,0.635003042
12-02-2020,12151,12231.75,12144.29981,12201.2002,411700,0.770569636
13-02-2020,12219.54981,12225.65039,12139.79981,12174.65039,501200,-0.217599938
14-02-2020,12190.15039,12246.7002,12091.2002,12113.4502,622800,-0.502685449
17-02-2020,12131.79981,12159.59961,12037,12045.79981,0,-0.558473341
18-02-2020,12028.25,12030.75,11908.04981,11992.5,676900,-0.442476264
19-02-2020,12090.59961,12134.7002,12042.09961,12125.90039,513600,1.112365153
20-02-2020,12119,12152,12071.4502,12080.84961,502600,-0.371525252
24-02-2020,12012.54981,12012.54981,11813.40039,11829.40039,490800,-2.081386874
25-02-2020,11877.5,11883.04981,11779.90039,11797.90039,461000,-0.266285686
26-02-2020,11738.54981,11783.25,11639.59961,11678.5,567600,-1.012047797
27-02-2020,11661.25,11663.84961,11536.7002,11633.29981,608600,-0.387037676
28-02-2020,11382,11384.79981,11175.04981,11201.75,809900,-3.709607869
02-03-2020,11387.34961,11433,11036.25,11132.75,680800,-0.615975182
03-03-2020,11217.54981,11342.25,11152.54981,11303.29981,696500,1.531964744
04-03-2020,11351.34961,11356.59961,11082.15039,11251,797700,-0.462695017
05-03-2020,11306.04981,11389.5,11244.59961,11269,1352500,0.159985779
06-03-2020,10942.65039,11035.09961,10827.40039,10989.4502,1811000,-2.480697533
09-03-2020,10742.04981,10751.54981,10294.4502,10451.4502,1565500,-4.895604334
11-03-2020,10334.29981,10545.09961,10334,10458.40039,1218500,0.066499824
12-03-2020,10039.9502,10040.75,9508,9590.150391,1343500,-8.301938801
13-03-2020,9107.599609,10159.40039,8555.150391,9955.200195,1388000,3.806507605
16-03-2020,9587.799805,9602.200195,9165.099609,9197.400391,897700,-7.6121001
17-03-2020,9285.400391,9403.799805,8915.599609,8967.049805,935600,-2.50451841
18-03-2020,9088.450195,9127.549805,8407.049805,8468.799805,1516600,-5.556454027
19-03-2020,8063.299805,8575.450195,7832.549805,8263.450195,925700,-2.424778183
20-03-2020,8284.450195,8883,8178.200195,8745.450195,1071500,5.832914686
23-03-2020,7945.700195,8159.25,7583.600098,7610.25,653500,-12.98046607
24-03-2020,7848.299805,8036.950195,7511.100098,7801.049805,738400,2.507142407
25-03-2020,7735.149902,8376.75,7714.75,8317.849609,736900,6.624746886
26-03-2020,8451,8749.049805,8304.900391,8641.450195,865600,3.890435644
27-03-2020,8949.099609,9038.900391,8522.900391,8660.25,801500,0.21755382
30-03-2020,8385.950195,8576,8244,8281.099609,593300,-4.378053647
31-03-2020,8529.349609,8678.299805,8358,8597.75,712700,3.823772276
01-04-2020,8584.099609,8588.099609,8198.349609,8253.799805,506300,-4.000467506
03-04-2020,8356.549805,8356.549805,8055.799805,8083.799805,697000,-2.059657419
07-04-2020,8446.299805,8819.400391,8360.950195,8792.200195,814200,8.763210459
08-04-2020,8688.900391,9131.700195,8653.900391,8748.75,896500,-0.494190237
09-04-2020,8973.049805,9128.349609,8904.549805,9111.900391,742100,4.150883166
13-04-2020,9103.950195,9112.049805,8912.400391,8993.849609,644000,-1.295567082
15-04-2020,9196.400391,9261.200195,8874.099609,8925.299805,879100,-0.762185349
16-04-2020,8851.25,9053.75,8821.900391,8992.799805,719400,0.756277116
17-04-2020,9323.450195,9324,9091.349609,9266.75,684200,3.046328184
20-04-2020,9390.200195,9390.849609,9230.799805,9261.849609,726400,-0.052881442
21-04-2020,9016.950195,9044.400391,8909.400391,8981.450195,655100,-3.027466714
22-04-2020,9026.75,9209.75,8946.25,9187.299805,734400,2.291941786
23-04-2020,9232.349609,9343.599609,9170.150391,9313.900391,666700,1.377995588
24-04-2020,9163.900391,9296.900391,9141.299805,9154.400391,659400,-1.712494157
27-04-2020,9259.700195,9377.099609,9250.349609,9282.299805,512800,1.397135897
28-04-2020,9389.799805,9404.400391,9260,9380.900391,614500,1.062243066
29-04-2020,9408.599609,9599.849609,9392.349609,9553.349609,653000,1.838301344
30-04-2020,9753.5,9889.049805,9731.5,9859.900391,931200,3.208830353
04-05-2020,9533.5,9533.5,9266.950195,9293.5,687500,-5.744483905
05-05-2020,9429.400391,9450.900391,9190.75,9205.599609,725200,-0.945826556
